ID,LOCATION,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Total,Pct Avg to Date
GPSO3,GRANTS PASS KAJO,1.18,7.07,1.26,4.65,0.53,4.15,1.69,0.34,0.46,0.01,0.00,0.11,21.45,69
GSPO3,GREEN SPRINGS PP,0.72,2.97,0.91,1.01,0.61,2.72,2.29,1.67,1.08,0.23,0.00,0.26,14.47,61
LEMO3,LEMOLO LAKE,6.87,11.65,3.34,8.43,5.38,4.51,6.44,1.80,2.06,0.00,0.15,0.29,50.92,77
MFR,MEDFORD,0.89,2.87,0.85,1.60,1.05,1.68,1.07,0.74,0.48,0.01,0.00,0.23,11.47,63
PRSO3,PROSPECT 2SW,3.61,8.48,2.21,4.41,2.17,3.68,3.45,1.73,1.83,0.00,0.00,0.55,32.12,77
RIDO3,RIDDLE,2.85,4.89,1.67,3.11,2.57,3.68,2.77,0.21,0.52,0.00,0.00,0.50,22.77,73
TKFO3,TOKETEE FALLS,5.24,8.56,1.94,4.64,3.37,3.50,5.06,1.37,3.62,0.00,0.03,0.37,37.70,78
WINO3,WINCHESTER DAM,2.92,4.82,1.82,4.13,3.65,4.47,3.85,0.50,0.75,0.00,0.00,0.52,27.43,75
WLMO3,WILLIAMS,1.33,6.18,1.65,3.97,1.61,3.41,2.32,1.17,0.39,0.14,0.00,0.10,22.27,69
PASO3,PAISLEY,0.52,1.79,0.18,1.00,0.30,1.66,0.37,1.79,2.14,0.00,0.00,0.00,9.75,88
SMMO3,SUMMER LAKE,0.87,2.48,0.39,1.22,0.32,1.46,0.77,1.85,0.82,0.02,0.05,0.03,10.28,77
EKA,EUREKA,1.64,7.40,1.94,7.86,2.87,8.50,5.02,0.79,0.70,0.03,0.05,0.19,36.99,92
GASC1,GASQUET RS,5.12,19.56,3.91,14.72,3.93,17.15,9.75,1.00,0.97,0.30,0.00,0.30,76.71,85
SCOC1,SCOTIA,0.98,6.58,1.21,7.38,3.01,8.90,4.00,0.90,0.27,0.00,0.02,0.47,33.72,68
CHEO3,CHEMULT,1.36,4.72,3.68,8.66,9.25,2.34,1.92,0.67,0.24,0.00,0.00,0.02,32.86,127
CRLO3,CRATER LAKE NP,5.55,14.17,3.98,9.25,4.81,6.16,6.97,1.60,2.17,0.01,0.00,0.00,54.67,83
HOWO3,HOWARD PRAIRIE,1.60,4.03,1.05,2.86,1.76,3.72,4.24,1.10,0.53,0.06,0.00,0.09,21.04,67
KENO3,KENO,0.93,2.35,0.60,1.39,0.72,1.79,1.98,1.15,0.20,0.30,0.01,0.17,11.59,59
LMT,KLAMATH FALLS,0.47,1.45,0.33,0.66,0.25,1.52,1.69,1.40,0.39,0.02,0.00,0.24,8.42,56
COPC1,COPCO #1 DAM,0.70,2.95,0.78,2.22,1.41,2.22,2.50,1.02,0.44,0.00,0.00,0.15,14.39,69
FOJC1,FORT JONES,0.36,2.42,0.59,2.21,0.63,1.91,1.83,2.17,0.04,0.02,0.00,0.00,12.18,57
MTHC1,MT. HEBRON RS,0.34,1.77,0.20,0.71,0.27,1.02,1.47,0.96,0.39,0.35,0.00,0.02,7.50,62
WEAC1,WEAVERVILLE,1.19,6.19,0.59,5.03,0.84,5.27,4.55,1.93,0.14,0.17,0.00,0.14,26.04,67
WLLC1,WILLOW CREEK 1NW,0.96,5.08,1.81,8.42,1.37,5.10,6.96,0.59,0.00,0.00,0.00,0.00,30.29,55
