ID,LOCATION,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Total,Pct Avg to Date
WEAC1,WEAVERVILLE,0.00,6.08,11.15,7.69,10.96,2.28,1.74,0.72,0.00,0.00,0.03,0.00,40.65,106
YKAC1,YREKA,0.02,1.81,4.10,2.12,3.22,1.11,0.89,1.02,0.23,0.56,0.05,0.01,15.14,77
ANGC1,ANGWIN PACIFIC UNION COLL,0.09,6.02,15.56,4.17,11.35,2.11,1.20,0.00,0.00,0.00,0.00,0.00,40.50,100
CLTC1,CALISTOGA,0.00,3.60,17.13,4.08,10.93,1.90,0.97,0.00,0.00,0.00,0.00,0.00,38.61,100
FFDC1,FAIRFIELD,0.00,1.08,7.39,2.84,7.68,0.91,0.16,0.05,0.00,0.00,0.00,0.66,20.77,89
GRNC1,GRATON,0.00,3.50,15.60,6.30,11.28,1.66,1.08,0.01,0.00,0.02,0.02,0.08,39.55,97
HLDC1,HEALDSBURG FIRE DEPT,0.00,4.06,18.81,5.75,12.82,1.79,1.55,0.08,0.00,0.00,0.00,0.00,44.86,106
KENC1,KENTFIELD,0.00,3.02,16.49,6.41,11.21,2.06,1.69,0.10,0.00,0.00,0.00,0.17,41.15,86
MHMC1,MOUNT HAMILTON,0.07,3.71,6.92,2.56,6.80,0.88,0.52,0.13,0.00,0.00,0.00,0.42,22.01,93
NSHC1,NAPA STATE HOSPITAL,0.25,3.11,7.70,3.60,6.53,0.94,0.34,0.10,0.00,0.00,0.00,0.14,22.71,86
SFO,SAN FRANCISCO AIRPORT,0.00,2.17,7.69,3.40,5.67,1.16,0.10,0.12,0.00,0.00,0.05,0.04,20.40,101
SFOC1,DOWNTOWN SAN FRANCISCO,0.04,2.22,7.69,3.40,5.67,1.16,0.12,0.12,0.00,0.00,0.05,0.04,20.51,92
STSC1,SANTA ROSA,0.04,3.19,11.42,3.44,9.21,1.13,0.68,0.03,0.00,0.02,0.00,0.11,29.27,94
UKI,UKIAH ASOS,0.10,3.93,12.36,3.95,11.20,1.03,0.58,0.06,0.02,0.00,0.00,0.13,33.36,NA
4LW,LAKEVIEW,0.01,2.16,4.21,1.73,1.70,0.80,0.48,1.29,0.43,0.03,0.33,0.09,13.26,86
ADNC1,ADIN,0.00,1.19,4.38,1.12,2.76,0.50,0.51,2.36,0.66,0.00,0.11,0.09,13.68,86
BNYC1,BURNEY,0.00,3.16,8.80,3.86,9.56,1.50,1.17,3.52,0.13,0.00,0.00,0.28,31.98,119
BODC1,BOWMAN DAM,0.00,4.96,19.08,5.06,15.17,1.34,3.18,1.91,0.11,0.06,0.00,0.12,50.99,74
BUCC1,BUCKS CREEK,0.04,4.25,16.31,4.87,15.73,1.93,1.14,1.89,0.32,0.00,0.07,0.12,46.67,67
BUKC1,BUCKHORN,0.00,7.49,22.23,7.53,15.50,3.70,4.68,3.86,0.10,0.00,0.00,0.52,65.61,99
CANC1,CANYON DAM,0.05,3.21,10.97,3.23,11.23,1.10,0.87,1.25,0.33,0.00,0.00,0.28,32.52,86
CBYC1,CANBY 3SW,0.07,1.79,4.77,1.07,4.10,0.84,1.18,1.78,0.45,0.00,0.52,0.17,16.74,102
CHUC1,CHICO UNIVERSITY FARM,0.04,3.35,9.15,3.68,7.25,0.94,0.18,0.31,0.00,0.00,0.00,0.00,24.90,95
CLGC1,COLGATE PH,0.35,4.06,11.19,5.17,8.29,1.82,0.64,0.69,0.00,0.00,0.00,0.45,32.66,79
COFC1,COLFAX,0.37,5.21,13.69,4.45,12.69,1.05,1.00,0.54,0.00,0.00,0.00,0.33,39.33,82
DAVC1,DAVIS EXPERIMENTAL FARM,0.00,1.42,5.34,2.37,6.58,0.47,0.15,0.04,0.00,0.00,0.00,0.01,16.38,86
DESC1,DE SABLA,0.24,6.44,22.33,8.00,19.53,2.44,1.97,1.20,0.12,0.00,0.00,0.18,62.45,95
DUNC1,DUNSMUIR,0.00,6.92,17.75,6.48,21.68,2.35,3.39,1.06,0.24,0.00,0.06,0.02,59.95,97
DWNC1,DOWNIEVILLE,0.66,4.04,19.27,7.19,14.63,2.85,2.31,1.17,0.14,0.00,0.00,0.55,52.81,84
FSTC1,FORESTHILL RS,0.00,3.95,13.36,4.54,8.75,1.90,0.92,0.48,0.00,0.00,0.00,0.57,34.47,66
GEOC1,GEORGETOWN RS,0.04,4.61,14.11,5.15,10.91,2.05,1.06,0.29,0.00,0.00,0.00,0.05,38.27,71
GLRC1,GOLD RUN 2SW,0.40,3.80,14.41,5.71,11.39,1.72,1.27,0.77,0.00,0.00,0.00,0.28,39.75,72
GRAC1,GRASS VALLEY NO. 2,0.24,4.07,15.41,6.57,10.39,1.85,1.13,0.28,0.00,0.00,0.00,0.41,40.35,76
GREC1,GREENVILLE RS,0.00,1.42,11.25,3.92,13.17,1.20,0.89,0.95,0.13,0.38,0.00,0.52,33.83,85
HATC1,HAT CREEK,0.00,2.10,4.95,1.44,5.64,0.53,0.64,2.88,0.03,0.00,0.00,0.27,18.48,92
HLEC1,HARRY L ENGLEBRIGHT DAM,0.74,3.99,10.55,3.11,8.34,1.48,0.39,0.21,0.00,0.00,0.00,0.29,29.10,83
LSPC1,LAKE SPAULDING,0.69,5.14,25.12,7.76,18.29,2.00,2.96,1.66,0.02,0.00,0.00,0.39,64.03,86
MCLC1,MCCLOUD,0.00,8.40,12.92,6.03,13.82,1.94,2.20,0.79,0.10,0.00,0.14,0.01,46.35,94
MHS,MT. SHASTA,0.05,7.24,10.65,5.44,14.58,1.80,2.08,1.52,0.09,0.02,0.40,0.00,43.87,110
MINC1,MINERAL,0.00,4.99,14.84,5.43,15.70,1.86,1.80,2.30,0.37,0.27,0.00,1.00,48.56,86
NCOC1,NICOLAUS,0.00,2.09,4.50,2.28,5.05,0.99,0.11,0.04,0.00,0.00,0.00,0.00,15.06,76
NVDC1,NEVADA CITY,0.27,5.14,19.58,7.53,14.06,2.60,1.34,1.02,0.22,0.15,0.00,0.33,52.24,88
ONDC1,ORLAND,0.19,3.61,8.12,2.76,6.74,1.40,0.21,0.05,0.00,0.00,0.00,0.00,23.08,106
OROC1,OROVILLE,0.25,3.52,9.59,4.78,6.96,1.88,0.29,0.85,0.00,0.00,0.00,0.50,28.62,100
PCHC1,PACIFIC HOUSE,0.07,3.63,14.46,4.78,11.33,1.97,0.75,0.40,0.00,0.00,0.00,0.43,37.82,73
PLCC1,PLACERVILLE,0.02,3.36,8.74,3.10,8.33,1.60,0.50,0.14,0.00,0.00,0.00,0.53,26.32,68
PLUC1,PLUMAS EUREKA SP,1.10,3.70,19.00,3.70,14.50,1.50,2.50,1.40,0.40,0.00,0.10,0.50,48.40,75
PRAC1,PORTOLA,0.00,1.34,7.02,2.89,5.32,0.56,0.05,0.48,0.25,0.00,0.00,0.22,18.13,78
PRDC1,PARADISE,0.09,6.01,19.31,6.69,15.28,2.45,1.00,0.53,0.00,0.00,0.00,0.07,51.43,92
PRPC1,PIT RIVER PH5,0.00,9.34,24.26,9.09,24.03,3.27,6.25,3.12,0.16,0.00,0.00,0.07,79.59,105
PTRC1,PIT RIVER PH1,0.00,2.32,4.99,2.75,5.27,0.46,0.54,3.56,0.29,0.00,0.00,0.17,20.35,108
QCYC1,QUINCY,0.11,3.67,12.37,4.85,13.74,1.43,0.82,1.91,0.44,0.01,0.00,0.33,39.68,104
RBL,RED BLUFF AP,0.03,3.32,8.37,2.69,7.61,1.47,0.23,0.97,0.00,0.00,0.00,0.10,24.79,103
ROMC1,ROUND MOUNTAIN,0.00,7.27,19.07,6.00,13.75,3.26,3.20,2.79,0.08,0.00,0.00,0.45,55.87,86
SAC,SACRAMENTO AP,0.04,1.53,4.23,2.15,5.01,0.48,0.09,0.17,0.00,0.00,0.00,0.17,13.87,77
SERC1,SIERRAVILLE,0.03,1.45,6.76,1.63,6.45,1.13,0.08,0.59,0.70,0.00,0.01,0.31,19.14,73
SHDC1,SHASTA DAM,0.27,10.75,21.28,7.66,19.40,4.24,2.91,0.87,0.70,0.00,0.00,0.09,68.17,108
SLPC1,SLY PARK,0.02,2.60,12.93,4.50,6.99,2.00,0.64,0.24,0.08,0.00,0.00,0.50,30.50,NA
SMTC1,SACRAMENTO 5 ESE,0.27,1.64,4.35,2.07,4.84,0.49,0.11,0.08,0.00,0.00,0.00,1.93,15.78,79
SODC1,SODA SPRINGS,1.02,3.46,20.08,7.13,11.61,1.46,2.20,1.77,0.28,0.08,0.00,0.43,49.52,NA
STOC1,STONY GORGE,0.17,3.01,9.00,2.68,6.69,1.38,0.27,0.08,0.00,0.00,0.00,0.04,23.32,109
STYC1,STRAWBERRY VALLEY,0.45,7.02,27.57,9.74,20.34,3.27,2.77,1.12,0.03,0.01,0.00,0.57,72.89,90
VOLC1,VOLTA PH,0.00,4.14,10.31,3.53,9.37,1.68,1.43,2.56,0.02,0.00,0.00,0.45,33.49,95
VTNC1,VINTON,0.00,0.68,3.21,0.91,2.47,0.40,0.00,1.03,0.58,0.00,0.09,0.18,9.55,67
WDDC1,WOODLAND,0.00,0.77,5.52,2.53,6.38,0.77,0.14,0.13,0.00,0.00,0.00,0.01,16.25,78
WSKC1,WHISKEYTOWN RES,0.00,8.56,12.48,3.62,23.06,3.92,4.43,0.46,1.00,0.00,0.02,0.11,57.66,91
ABYC1,AUBERRY,0.01,1.27,5.38,2.21,5.81,0.96,0.19,0.24,0.00,0.00,0.00,0.32,16.39,63
BCRC1,BIG CREEK PH #1,0.14,2.36,6.16,1.62,6.06,1.00,0.78,0.65,0.01,0.00,0.00,0.21,18.99,NA
CHVC1,CHERRY VALLEY,0.00,4.67,13.90,4.47,9.68,1.72,0.52,0.82,0.00,0.00,0.00,0.12,35.90,75
CMPC1,CAMP PARDEE,0.00,1.82,6.26,2.08,5.73,0.93,0.18,0.22,0.00,0.00,0.00,0.52,17.74,77
EXQC1,EXCHEQUER DAM,0.00,1.78,4.82,1.38,4.10,1.10,0.00,0.33,0.00,0.00,0.00,0.02,13.53,68
FDDC1,FIDDLETOWN DEXTER RANCH,0.00,2.94,10.24,3.70,7.45,1.53,0.41,0.13,0.00,0.00,0.00,0.37,26.77,72
FRAC1,FRIANT GOVERNMENT CAMP,0.12,1.12,1.96,1.49,2.74,1.31,0.04,0.80,0.00,0.00,0.00,0.02,9.60,65
GRVC1,GROVELAND RS,0.00,4.24,10.87,3.56,8.19,1.79,0.10,0.75,0.00,0.00,0.00,0.19,29.69,79
HETC1,HETCH HETCHY,0.01,3.37,9.66,2.54,8.86,1.84,0.59,0.18,0.06,0.00,0.00,0.13,27.24,75
LOSC1,LOS BANOS,0.04,0.92,2.49,1.23,2.72,0.39,0.05,0.00,0.00,0.00,0.00,0.07,7.91,79
MATC1,MATHER,0.17,3.23,9.09,2.75,8.09,1.58,0.30,0.54,0.23,0.00,0.00,0.24,26.22,75
MCEC1,MERCED,0.00,0.80,3.24,1.00,3.66,0.72,0.00,0.22,0.00,0.00,0.00,0.13,9.77,78
MOD,MODESTO AP,0.04,0.72,3.32,1.02,2.93,0.33,0.03,0.16,0.00,0.00,0.00,0.20,8.75,67
NMDC1,NEW MELONES DAM HQ,0.00,2.21,8.02,2.81,5.61,1.03,0.08,0.23,0.01,0.00,0.00,0.19,20.19,NA
NOFC1,NORTH FORK RS,0.02,1.99,7.24,3.28,8.09,1.35,0.90,0.36,0.00,0.00,0.00,0.04,23.27,68
PANC1,PANOCHE 2W,0.06,0.25,2.54,1.47,3.94,0.17,0.00,0.00,0.00,0.00,0.00,0.04,8.47,80
SCKC1,STOCKTON FIRE STA 4,0.00,2.23,5.32,3.20,4.47,0.44,0.53,0.23,0.00,0.00,0.00,0.20,16.62,100
SLDC1,LOS BANOS,0.08,0.64,3.36,0.89,2.42,0.31,0.11,0.11,0.00,0.00,0.00,0.07,7.99,76
SONC1,SONORA,0.00,2.26,9.09,2.64,6.10,1.25,0.09,0.35,0.00,0.00,0.00,0.31,22.09,67
SPGC1,SALT SPRINGS PH,0.47,3.36,14.63,4.01,9.78,1.68,0.76,0.83,0.06,0.01,0.00,0.20,35.79,77
TIGC1,TIGER CREEK PH,0.31,3.27,13.05,4.51,9.03,1.75,0.39,0.42,0.05,0.45,0.06,0.41,33.70,73
TRAC1,TRACY CARBONA,0.00,1.57,1.95,0.84,2.65,1.51,0.17,0.10,0.00,0.00,0.00,0.33,9.12,86
WSTC1,WEST POINT,0.00,2.96,14.24,5.74,7.30,0.87,0.32,0.48,0.00,0.00,0.00,0.38,32.29,88
YNPC1,SOUTH ENTRANCE YOSEMITE,0.03,3.54,11.75,3.49,9.31,1.55,0.69,0.29,0.87,0.00,0.00,0.14,31.66,75
YPQC1,YOSEMITE PARK HEADQUARTER,0.05,3.00,10.14,2.99,8.46,1.43,0.54,1.05,0.07,0.07,0.00,0.25,28.05,74
ATWC1,ATWELL CAMP,0.10,2.70,10.90,3.70,6.11,1.20,0.30,0.00,0.10,0.10,0.00,0.00,25.21,NA
BFL,BAKERSFIELD,0.20,0.32,1.30,0.56,1.63,0.53,0.02,0.00,0.00,0.00,0.00,0.00,4.56,70
BTPC1,BEAR TRAP MEADOW,0.30,3.80,12.30,3.81,6.90,0.90,0.61,0.00,0.01,0.00,0.00,0.40,29.03,NA
DNPC1,BALCH PH,0.00,2.36,7.40,2.71,5.68,1.52,0.20,0.23,0.00,0.00,0.00,0.13,20.23,65
EGCC1,EAGLE CREEK,0.00,2.70,9.70,3.41,8.51,1.25,0.50,0.00,0.00,0.10,0.00,0.00,26.17,NA
GNNC1,GLENNVILLE,0.00,1.48,4.75,2.07,4.86,0.82,0.19,0.00,0.00,0.00,0.00,0.00,14.17,71
GRGC1,GRANT GROVE,0.00,3.64,10.20,3.20,8.81,1.60,0.76,0.18,0.00,0.00,0.00,0.17,28.56,68
HCKC1,HOCKETT MEADOW,0.00,1.50,10.40,3.90,7.00,1.10,0.90,0.20,0.00,0.20,0.00,0.00,25.20,NA
HSSC1,HOSSACK,0.30,3.00,11.20,4.21,6.70,3.40,0.90,0.30,0.00,0.00,0.00,0.00,30.01,NA
ISAC1,LAKE ISABELLA DAM,0.18,0.71,2.04,1.09,3.15,0.46,0.05,0.00,0.00,0.00,0.00,0.00,7.68,NA
KVLC1,KERN RIVER PH #3,0.00,1.30,1.09,1.17,3.28,0.39,0.00,0.00,0.00,0.00,0.00,0.00,7.23,54
LDGC1,LODGEPOLE,0.00,3.06,13.16,5.67,9.32,1.29,1.04,0.15,0.00,0.46,0.00,0.17,34.32,77
MNHC1,MOUNTAIN HOME,0.70,3.00,10.90,1.51,7.51,2.00,0.60,0.00,0.00,0.00,0.00,0.00,26.22,NA
PFTC1,PINE FLAT DAM,0.02,0.71,4.22,0.55,4.05,1.32,0.16,0.18,0.00,0.00,0.00,0.00,11.21,56
RGCC1,ROGERS CAMP,0.50,2.30,8.90,3.01,6.54,1.41,1.61,0.00,0.10,0.00,0.00,0.00,24.37,NA
SCSC1,LAKE SUCCESS DAM,0.19,0.35,2.64,0.27,3.37,0.88,0.10,0.00,0.00,0.00,0.00,0.00,7.80,71
TMDC1,TERMINUS DAM,0.08,0.91,3.42,1.35,3.87,0.81,0.50,0.02,0.00,0.00,0.00,0.00,10.96,NA
TREC1,THREE RIVER EDISON PH #1,0.00,1.20,4.93,1.70,3.84,0.96,0.17,0.01,0.00,0.00,0.00,0.00,12.81,53
FAT,FRESNO AIR TERMINAL,0.00,0.40,2.95,0.87,1.69,1.54,0.03,0.07,0.00,0.00,0.00,0.00,7.55,67
HJO,HANFORD,0.07,0.47,2.11,0.97,2.32,0.25,0.01,0.02,0.00,0.00,0.00,0.00,6.22,72
