ID,LOCATION,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,WY Total,Pct Avg to Date
ASHO3,ASHLAND,0.40,0.83,2.61,2.10,3.78,1.04,3.20,1.15,0.00,0.00,0.55,1.55,17.21,86
GPSO3,GRANTS PASS KAJO,0.89,2.33,4.98,7.67,7.43,1.49,5.22,0.74,0.01,0.00,1.16,2.02,33.94,110
LEMO3,LEMOLO LAKE,4.17,6.06,9.92,7.45,16.42,2.41,10.30,1.88,0.46,0.00,1.29,5.27,65.63,99
MFR,MEDFORD,0.60,1.39,3.21,3.36,4.63,0.94,3.01,1.91,0.01,0.00,0.86,1.86,21.78,119
OTH,NORTH BEND,2.49,5.92,10.10,6.23,16.06,3.35,9.13,3.54,0.37,1.08,0.36,2.80,61.43,95
RIDO3,RIDDLE,1.21,2.97,5.73,4.52,8.40,1.75,5.11,1.18,0.28,0.06,1.21,3.28,35.70,115
TKFO3,TOKETEE FALLS,2.98,3.76,6.86,4.78,10.22,2.48,8.87,1.69,0.31,0.00,1.71,5.49,49.15,102
WINO3,WINCHESTER DAM,2.00,3.65,5.05,4.96,9.71,1.90,5.87,1.84,0.82,0.05,0.79,2.66,39.30,108
WLMO3,WILLIAMS,0.98,3.15,5.44,7.13,7.95,1.72,4.98,2.16,0.00,0.00,1.15,1.41,36.07,111
SMMO3,SUMMER LAKE,0.73,1.22,1.89,1.27,2.57,1.50,1.82,2.67,0.84,0.01,0.20,2.03,16.75,126
EKA,EUREKA,0.85,4.94,4.95,6.67,14.43,4.79,2.51,2.61,0.00,0.00,0.18,1.92,43.85,109
FORC1,FORT ROSS,1.86,5.32,6.66,7.41,18.54,7.41,4.40,4.99,0.02,0.00,0.06,0.28,56.95,143
FRBC1,FT BRAGG 5N,1.08,4.33,6.07,7.33,14.39,7.60,2.28,6.35,0.02,0.05,0.24,0.75,50.49,116
GASC1,GASQUET RS,2.55,8.17,11.54,15.61,24.44,6.55,15.32,4.93,0.24,0.00,0.83,5.92,96.10,106
SCOC1,SCOTIA,1.24,5.70,6.26,10.80,17.62,6.66,2.98,4.78,0.00,0.03,0.19,1.00,57.26,116
CRLO3,CRATER LAKE NP,3.70,7.99,10.22,8.35,14.91,5.57,10.70,5.14,0.29,0.01,1.30,5.54,73.72,111
HOWO3,HOWARD PRAIRIE,1.35,2.63,4.21,4.55,8.80,2.59,2.79,2.73,0.11,0.00,0.78,2.99,33.53,107
KENO3,KENO,0.48,1.78,2.52,2.20,4.32,1.51,2.43,1.88,0.05,0.00,0.54,1.18,18.89,95
LMT,KLAMATH FALLS,0.41,0.90,1.62,1.49,2.05,0.82,1.64,1.62,0.08,0.07,0.63,1.87,13.20,88
COPC1,COPCO #1 DAM,0.63,1.79,3.39,2.86,6.48,1.10,2.54,1.13,0.00,0.00,1.08,2.25,23.25,111
COPC1,COPCO #1 DAM,0.63,1.79,3.39,2.86,6.48,1.10,2.54,1.13,0.00,0.00,1.08,2.25,23.25,111
WEAC1,WEAVERVILLE,0.51,5.15,3.14,7.29,12.66,4.64,4.60,2.62,0.80,0.00,0.64,0.70,42.75,110
YKAC1,YREKA,0.56,2.04,2.79,2.20,6.44,0.78,1.46,1.09,0.00,0.00,0.59,0.80,18.75,94
ANGC1,ANGWIN PACIFIC UNION COLLEGE,1.44,5.13,3.75,10.92,20.21,8.01,1.27,3.87,0.00,0.00,0.00,0.10,54.70,132
FFDC1,FAIRFIELD,0.07,4.52,2.87,6.29,10.43,5.57,0.36,2.83,0.00,0.00,0.00,0.00,32.94,133
MHMC1,MOUNT HAMILTON,0.11,6.25,3.10,5.78,11.57,6.91,1.40,4.73,0.00,0.00,0.00,0.09,39.94,153
NSHC1,NAPA STATE HOSPITAL,0.22,4.36,2.78,7.22,9.87,5.40,0.45,2.99,0.00,0.00,0.00,0.00,33.29,120
PORC1,POTTER VALLEY PH,1.24,4.93,4.80,8.85,16.11,7.46,2.02,3.29,0.04,0.00,0.16,0.35,49.25,105
SFO,SAN FRANCISCO AIRPORT,0.16,3.12,1.65,4.21,7.19,4.47,0.20,2.00,0.00,0.00,0.00,0.06,23.06,112
SFOC1,DOWNTOWN SAN FRANCISCO,0.21,3.56,2.18,5.13,7.94,4.31,0.41,1.94,0.00,0.00,0.00,0.12,25.80,109
SJC,SAN JOSE INTL AIRPORT,0.03,1.92,1.53,2.89,5.61,2.81,0.20,1.44,0.00,0.00,0.00,0.13,16.56,111
AAT,ALTURAS,1.26,0.96,1.16,1.99,2.70,1.71,2.24,1.42,0.14,0.01,0.54,1.48,15.61,110
ADNC1,ADIN,1.61,1.57,1.69,2.86,3.67,2.22,2.20,3.33,0.00,0.00,0.54,1.87,21.56,139
AUBC1,AUBURN,1.19,5.56,1.70,4.92,9.80,3.78,0.98,1.60,0.00,0.00,0.00,2.15,31.68,85
BODC1,BOWMAN DAM,1.13,9.58,6.26,17.33,23.40,15.21,5.28,7.20,1.66,0.00,0.00,4.09,91.14,137
BUKC1,BUCKHORN,3.98,8.96,10.68,13.68,19.29,16.51,8.67,8.50,0.19,0.00,1.65,3.03,95.14,140
CANC1,CANYON DAM,1.30,2.64,8.38,10.10,17.37,5.59,1.65,3.83,0.02,0.00,0.00,1.96,52.84,140
CHEC1,CHESTER,0.38,3.83,4.41,9.00,12.19,6.16,1.90,3.62,0.40,0.06,0.01,1.38,43.34,126
CHUC1,CHICO UNIVERSITY FARM,0.52,3.40,3.17,5.82,12.78,4.91,1.84,4.80,0.02,0.00,0.00,0.56,37.82,142
CLGC1,COLGATE PH,0.68,7.20,4.60,9.19,14.81,7.13,3.56,4.01,0.00,0.00,0.00,1.57,52.75,124
COFC1,COLFAX,0.03,7.99,4.35,12.29,18.34,8.00,2.36,4.41,0.05,0.00,0.00,2.24,60.06,128
DAVC1,DAVIS EXPERIMENTAL FARM,0.03,2.58,2.33,6.03,9.62,5.67,0.19,2.92,0.00,0.00,0.00,0.07,29.44,150
DWNC1,DOWNIEVILLE,0.73,8.48,4.38,16.88,29.75,11.68,5.25,7.39,1.57,0.00,0.04,3.60,89.75,138
FSTC1,FORESTHILL RS,0.55,7.71,5.01,12.60,21.40,9.36,3.93,6.65,0.20,0.00,0.00,3.14,70.55,131
GEOC1,GEORGETOWN RS,1.05,8.26,4.49,9.40,19.17,9.27,3.09,7.49,0.03,0.00,0.00,1.93,64.18,125
GLRC1,GOLD RUN 2SW,0.78,9.85,5.18,12.90,19.82,8.55,3.71,6.78,0.90,0.00,0.00,2.92,71.39,129
GRAC1,GRASS VALLEY NO. 2,0.92,8.38,4.72,13.10,21.93,8.17,2.89,5.37,0.36,0.00,0.00,2.31,68.15,127
